,route,sharpe,sortino,std,neg std,min net,acc,mean net,frequency,periods
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientfrontier/minvol/4_6h_100,-0.05798938114206182,-0.08111943628708472,0.025820010666194052,0.018457801337709936,-0.0796703296703296,0.9076583039726268,-0.0014972864396140284,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientfrontier/minvol/4_6h_80,-0.06319778308332692,-0.08662587190291783,0.025338204255647204,0.018485451298707052,-0.0796703296703296,0.9032218344973256,-0.0016013183362694231,6h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientsemivariance/minsemivariance/4_6h_60,-0.05954644972348775,-0.09077859406960381,0.027166955412725558,0.0178202335165462,-0.0796703296703296,0.9002535058390105,-0.0016176957446240958,6h,2
7,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_10_4/50_150_/efficientfrontier/minvol/4_6h_60,-0.10472116440073673,-0.13702549228215846,0.02395497441204808,0.018307489882641075,-0.0796703296703296,0.8622033859824989,-0.0025085928136195285,6h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientfrontier/minvol/4_6h_80,-0.03301326661559002,-0.042527627169075606,0.02689997424535944,0.02088186152930524,-0.0796703296703296,0.9395185745325282,-0.0008880560217145563,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientsemivariance/minsemivariance/4_6h_80,-0.033898425530197944,-0.04473000620348701,0.02855139205069301,0.021637538631471335,-0.0796703296703296,0.9336710803848688,-0.0009678472372139026,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientfrontier/minvol/4_6h_100,-0.03821687467021475,-0.05158713307700348,0.027260825368413996,0.02019541471622723,-0.0796703296703296,0.93187384321176,-0.0010418235465112886,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientfrontier/minvol/4_6h_40,-0.047382380142102935,-0.0601702934471768,0.026086270302177767,0.020542189594480564,-0.0796703296703296,0.9242394136494774,-0.0012360295759474373,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientsemivariance/minsemivariance/4_6h_100,-0.05324183641154345,-0.07186362979659025,0.02861080162152644,0.02119697576991455,-0.0796703296703296,0.9079864123272636,-0.0015232916195364328,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientsemivariance/minsemivariance/4_6h_40,-0.05483071987838826,-0.0745702141133512,0.02892776485013698,0.021270291229078864,-0.0796703296703296,0.9065433879773136,-0.001586130171205747,6h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientfrontier/minvol/4_6h_60,-0.07742903512017528,-0.09818411485832683,0.025909641167333568,0.020432618033898498,-0.0796703296703296,0.889467154004257,-0.0020061585158966102,6h,2
7,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_2/50_150_/efficientsemivariance/minsemivariance/4_6h_60,-0.12358364069810746,-0.16507543502910207,0.027099860722095543,0.020288296982878033,-0.0796703296703296,0.8302845599072483,-0.0033490994504482103,6h,2
0,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientsemivariance/minsemivariance/4_6h_40,-0.03454087743378415,-0.05577879966833469,0.028593466547222064,0.017706430208021925,-0.0796703296703296,0.9302843912547318,-0.0009876434234146047,6h,2
1,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientsemivariance/minsemivariance/4_6h_80,-0.046126747396556506,-0.07535850988260323,0.028368660663429555,0.017364383218818506,-0.0796703296703296,0.9135677071800326,-0.0013085540444006442,6h,2
2,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientsemivariance/minsemivariance/4_6h_100,-0.0657751155860851,-0.10682545258106697,0.02805331585675888,0.017273131528752376,-0.0796703296703296,0.8882980895723519,-0.0018452100930512697,6h,2
3,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientfrontier/minvol/4_6h_40,-0.10558842583972185,-0.1393945185779677,0.02507652522408673,0.018994942203989208,-0.0796703296703296,0.8545890812593258,-0.002647790823941396,6h,2
4,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientfrontier/minvol/4_6h_80,-0.0987968421384741,-0.1343282351920227,0.026593894319200197,0.01955949748871053,-0.0796703296703296,0.8537857789846817,-0.002627392778901285,6h,2
5,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientfrontier/minvol/4_6h_100,-0.10177133427799182,-0.14528413428881676,0.027007917873666264,0.01891900895805534,-0.0796703296703296,0.8478224440318474,-0.0027486318380734393,6h,2
6,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientsemivariance/minsemivariance/4_6h_60,-0.1276849506337154,-0.199774581220092,0.02738579074872558,0.01750349478127003,-0.0796703296703296,0.814431405995914,-0.003496753339816286,6h,2
7,C:\Users\ramon\Documents\Trading\WorkingDir\binance\results\usdt\6h_4/LowestMomentum_2_EMASlope_20_3/50_150_/efficientfrontier/minvol/4_6h_60,-0.14960430440603775,-0.1994772290961313,0.025455551222380503,0.01909120179357032,-0.0796703296703296,0.8030301702579112,-0.0038082600338964993,6h,2
